epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.734035313129425,9.999999747378752e-05,0.6999317407608032,0.9442934989929199,0.2147262841463089
1,0.9273098111152649,9.999999747378752e-05,0.24060937762260437,0.9646739363670349,0.13419541716575623
2,0.94701087474823,9.999999747378752e-05,0.17050962150096893,0.9728260636329651,0.09980986267328262
3,0.9572010636329651,9.999999747378752e-05,0.1342485100030899,0.97826087474823,0.07800345122814178
4,0.9660326242446899,9.999999747378752e-05,0.10844268649816513,0.98097825050354,0.06890060752630234
5,0.9667119383811951,9.999999747378752e-05,0.10096748918294907,0.98097825050354,0.0635373666882515
6,0.971807062625885,9.999999747378752e-05,0.0858895480632782,0.9864130616188049,0.05018732696771622
7,0.9765625,9.999999747378752e-05,0.07714884728193283,0.9836956262588501,0.05103155970573425
8,0.973505437374115,9.999999747378752e-05,0.07740459591150284,0.9823369383811951,0.053474295884370804
9,0.9806385636329651,4.999999873689376e-05,0.06630785763263702,0.9864130616188049,0.045486435294151306
10,0.9806385636329651,4.999999873689376e-05,0.058046672493219376,0.98777174949646,0.04103342071175575
11,0.9823369383811951,4.999999873689376e-05,0.055304937064647675,0.989130437374115,0.041949912905693054
12,0.9836956262588501,4.999999873689376e-05,0.05309256166219711,0.989130437374115,0.03986254334449768
13,0.9819973111152649,4.999999873689376e-05,0.05787506327033043,0.989130437374115,0.037597913295030594
14,0.98267662525177,4.999999873689376e-05,0.05659506097435951,0.991847813129425,0.03598109260201454
15,0.983016312122345,4.999999873689376e-05,0.05229465290904045,0.99048912525177,0.03660966083407402
16,0.9819973111152649,4.999999873689376e-05,0.05457111448049545,0.99048912525177,0.03671116754412651
17,0.98607337474823,2.499999936844688e-05,0.04707670584321022,0.98777174949646,0.03703512251377106
18,0.98879075050354,2.499999936844688e-05,0.04428504779934883,0.989130437374115,0.03504762053489685
19,0.9867526888847351,2.499999936844688e-05,0.04896799474954605,0.989130437374115,0.03598404303193092
