epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7381114363670349,9.999999747378752e-05,0.7068241834640503,0.9375,0.23247376084327698
1,0.930027186870575,9.999999747378752e-05,0.24283264577388763,0.9551630616188049,0.13895472884178162
2,0.9429348111152649,9.999999747378752e-05,0.1795891523361206,0.9646739363670349,0.09673672169446945
3,0.9609375,9.999999747378752e-05,0.12984155118465424,0.970108687877655,0.08572567254304886
4,0.9599184989929199,9.999999747378752e-05,0.11610609292984009,0.97826087474823,0.06869582086801529
5,0.963994562625885,9.999999747378752e-05,0.10104407370090485,0.98097825050354,0.05855090171098709
6,0.9745244383811951,9.999999747378752e-05,0.0835578665137291,0.9850543737411499,0.05827253311872482
7,0.9765625,9.999999747378752e-05,0.0785723403096199,0.9823369383811951,0.05227142199873924
8,0.977921187877655,9.999999747378752e-05,0.06692307442426682,0.9823369383811951,0.056870054453611374
9,0.981317937374115,9.999999747378752e-05,0.06325101107358932,0.98777174949646,0.0430879108607769
10,0.976222813129425,9.999999747378752e-05,0.06722191721200943,0.98777174949646,0.0400400385260582
11,0.97826087474823,9.999999747378752e-05,0.056177493184804916,0.99048912525177,0.03674279898405075
12,0.98097825050354,9.999999747378752e-05,0.05626058578491211,0.98777174949646,0.039747752249240875
13,0.983016312122345,9.999999747378752e-05,0.04855966567993164,0.9932065010070801,0.03457866981625557
14,0.984035313129425,9.999999747378752e-05,0.049412332475185394,0.989130437374115,0.03813661262392998
15,0.9853940010070801,9.999999747378752e-05,0.04102384299039841,0.989130437374115,0.03746185451745987
16,0.987432062625885,4.999999873689376e-05,0.04037996754050255,0.99048912525177,0.03834734484553337
17,0.9881114363670349,4.999999873689376e-05,0.04008108749985695,0.991847813129425,0.03469296917319298
18,0.98879075050354,2.499999936844688e-05,0.03981376439332962,0.9932065010070801,0.03467719256877899
